series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K
sn_006994,product A,V1E1,po_011867,MFG,4770,0,4770,0,0,0,0,1,1,0,0,0,0
sn_006994,product A,V1E2,po_011868,po_011867,442,0,5162,0,0,0,0,0,1,0,0,0,0
sn_006994,product A,V1E2,po_011869,po_011868,10434,1,15546,0,0,0,0,0,0,0,0,0,0
sn_006995,product A,V1E1,po_011870,MFG,6470,0,6470,0,0,0,0,1,0,0,0,0,0
sn_006995,product A,V1E2,po_011871,po_011870,1678,0,8098,0,0,0,0,0,1,0,0,0,0
sn_006995,product A,V1E2,po_011872,po_011871,2246,0,10294,0,0,0,0,0,0,0,0,0,0
sn_006995,product A,V1E2,po_011873,po_011872,5506,1,15750,0,0,0,0,0,0,0,0,0,0
sn_006996,product A,V1E1,po_011874,MFG,4282,0,4282,0,0,0,0,0,1,0,0,0,0
sn_006996,product A,V1E1,po_011875,po_011874,11610,1,15842,0,0,0,0,0,0,0,0,0,0
sn_006997,product A,V1E1,po_011876,MFG,3038,0,3038,0,0,1,1,1,0,0,0,0,1
sn_006997,product A,V1E1,po_011877,po_011876,4262,0,7250,0,0,0,0,1,0,0,0,0,0
sn_006997,product A,V1E2,po_011878,po_011877,8530,1,15730,0,0,0,0,0,0,0,0,0,0
sn_006998,product A,V1E1,po_011879,MFG,5878,0,5878,0,0,0,0,0,1,0,0,0,0
sn_006998,product A,V1E1,po_011880,po_011879,3058,0,8886,0,0,0,0,0,0,0,0,0,0
sn_006998,product A,V1E2,po_011881,po_011882,2598,1,11434,0,0,0,0,0,1,0,0,0,0
sn_006998,product A,V1E1,po_011882,po_011880,2030,0,13414,0,0,0,0,1,0,0,0,0,0
sn_006998,product A,V1E2,po_011883,po_011882,4930,1,18294,0,0,0,0,0,0,0,0,0,0
sn_006999,product A,V1E1,po_011884,MFG,5070,0,5070,0,1,0,0,1,1,0,1,0,1
sn_006999,product A,V1E2,po_011885,po_011884,10798,1,15818,0,0,0,0,0,0,0,0,0,0
sn_007000,product A,V1E1,po_011886,MFG,2878,0,2878,0,0,0,0,1,0,0,0,0,0
sn_007000,product A,V1E1,po_011887,po_011886,466,0,3294,0,0,0,0,0,0,0,0,0,0
sn_007000,product A,V1E1,po_011888,po_011887,12510,1,15754,0,0,0,0,0,0,0,0,0,0
sn_007001,product A,V1E1,po_011889,MFG,5750,0,5750,0,0,0,0,0,0,0,0,0,0
sn_007001,product A,V1E1,po_011890,po_011889,6418,1,12118,0,0,0,0,0,0,0,0,0,0
sn_007002,product A,V1E1,po_011891,MFG,9386,0,9386,0,1,0,0,0,0,0,0,0,0
sn_007002,product A,V1E1,po_011892,po_011891,6470,1,15806,0,0,0,0,0,0,0,0,0,0
sn_007003,product A,V1E1,po_011893,MFG,4566,0,4566,0,0,0,0,1,0,0,0,0,0
sn_007003,product A,V1E2,po_011894,po_011893,4886,0,9402,0,0,1,0,1,1,0,0,0,1
sn_007003,product A,V1E2,po_011895,po_011894,6302,1,15654,0,0,0,0,0,0,0,0,0,0
sn_007004,product A,V1E1,po_011896,MFG,8858,0,8858,0,1,0,0,1,0,0,0,0,0
sn_007004,product A,V1E2,po_011897,po_011896,3998,0,12806,0,0,0,1,1,0,0,0,0,0
sn_007004,product A,V1E3,po_011898,po_011897,3018,1,15774,0,0,0,0,0,0,0,0,0,0
sn_007005,product A,V1E1,po_011899,MFG,15806,1,15806,0,0,0,0,0,0,0,0,0,0
sn_007006,product A,V1E1,po_011900,MFG,5334,0,5334,0,0,0,0,1,0,0,0,0,0
sn_007006,product A,V1E2,po_011901,po_011900,5454,0,10738,0,0,0,0,1,0,0,0,0,0
sn_007006,product A,V1E2,po_011902,po_011901,5038,1,15726,0,0,0,0,0,0,0,0,0,0
sn_007007,product A,V1E1,po_011903,MFG,7110,0,7110,0,1,0,0,0,0,0,0,0,0
sn_007007,product A,V1E1,po_011904,po_011903,5634,0,12694,0,0,0,0,1,0,0,0,0,0
sn_007007,product A,V1E3,po_011905,po_011904,3086,1,15730,0,0,0,0,0,0,0,0,0,0
sn_007008,product A,V1E1,po_011906,MFG,6290,0,6290,0,0,0,0,1,0,0,0,0,0
sn_007008,product A,V1E2,po_011907,po_011906,3750,0,9990,0,0,0,0,1,0,0,0,0,0
sn_007008,product A,V1E2,po_011908,po_011907,5798,1,15738,0,0,0,0,0,0,0,0,0,0
sn_007009,product A,V1E1,po_011909,MFG,15786,1,15786,0,0,0,0,0,0,0,0,0,0
sn_007010,product A,V1E1,po_011910,MFG,4842,0,4842,0,0,0,1,0,0,0,0,0,0
sn_007010,product A,V1E1,po_011911,po_011910,6402,0,11194,0,0,0,0,1,0,0,0,0,0
sn_007010,product A,V1E2,po_011912,po_011911,4478,1,15622,0,0,0,0,0,0,0,0,0,0
sn_007011,product A,V1E1,po_011913,MFG,6698,0,6698,0,0,0,0,1,0,0,0,0,0
sn_007011,product A,V1E2,po_011914,po_011913,5330,1,11978,0,0,0,0,0,0,0,0,0,0
sn_007012,product A,V1E1,po_011915,MFG,15782,1,15782,0,0,0,0,0,0,0,0,0,0
sn_007013,product A,V1E1,po_011916,MFG,8998,0,8998,0,1,0,0,1,0,0,0,0,0
sn_007013,product A,V1E2,po_011917,po_011916,2038,0,10986,0,0,0,0,0,0,0,0,0,0
sn_007013,product A,V1E2,po_011918,po_011917,4782,1,15718,0,0,0,0,0,0,0,0,0,0
sn_007014,product A,V1E1,po_011919,MFG,7542,0,7542,0,0,0,0,1,0,0,0,0,0
sn_007014,product A,V1E2,po_011920,po_011919,5494,0,12986,0,0,0,0,1,0,0,0,0,0
sn_007014,product A,V1E3,po_011921,po_011920,2794,1,15730,0,0,0,0,0,0,0,0,0,0
sn_007015,product A,V1E1,po_011922,MFG,10278,0,10278,0,1,0,0,1,1,1,0,0,0
sn_007015,product A,V1E2,po_011923,po_011922,5538,1,15766,0,0,0,0,0,0,0,0,0,0
sn_007016,product A,V1E1,po_011924,MFG,15766,1,15766,0,0,0,0,0,0,0,0,0,0
sn_007017,product A,V1E1,po_011925,MFG,15766,1,15766,0,0,0,0,0,0,0,0,0,0
sn_007018,product A,V1E1,po_011926,MFG,7782,0,7782,0,1,0,0,1,0,0,0,0,0
sn_007018,product A,V1E2,po_011927,po_011926,6098,0,13830,0,0,0,0,1,0,0,0,0,0
sn_007018,product A,V1E3,po_011928,po_011927,1954,1,15734,0,0,0,0,0,0,0,0,0,0
sn_007019,product A,V1E1,po_011929,MFG,4226,0,4226,0,0,0,0,1,0,1,0,0,0
sn_007019,product A,V1E2,po_011930,po_011929,11586,1,15762,0,0,0,0,0,0,0,0,0,0
sn_007020,product A,V1E1,po_011931,MFG,4506,0,4506,0,0,0,0,0,0,0,0,0,1
sn_007020,product A,V1E1,po_011932,po_011931,5142,0,9598,0,0,0,0,1,0,0,0,0,0
sn_007020,product A,V1E2,po_011933,po_011932,3146,0,12694,0,0,0,0,1,0,0,0,0,0
sn_007020,product A,V1E3,po_011934,po_011933,2918,1,15562,0,0,0,0,0,0,0,0,0,0
sn_007021,product A,V1E1,po_011935,MFG,14890,1,14890,0,0,0,0,0,1,0,0,0,0
sn_007022,product A,V1E1,po_011936,MFG,1846,0,1846,0,0,0,0,1,0,0,0,0,0
sn_007022,product A,V1E1,po_011937,po_011936,1266,0,3062,0,0,0,0,0,0,0,0,0,0
sn_007022,product A,V1E1,po_011938,po_011937,750,0,3762,0,0,0,0,0,0,0,0,0,0
sn_007022,product A,V1E1,po_011939,po_011938,11838,1,15550,0,0,0,0,0,0,0,0,0,0
sn_007023,product A,V1E1,po_011940,MFG,10286,0,10286,0,0,0,0,0,0,0,0,0,0
sn_007023,product A,V1E1,po_011941,po_011940,5522,1,15758,0,0,0,0,0,0,0,0,0,0
sn_007024,product A,V1E1,po_011942,MFG,4238,0,4238,0,0,0,0,1,0,0,0,0,0
sn_007024,product A,V1E2,po_011943,po_011942,4122,0,8310,0,0,0,0,1,0,0,0,0,0
sn_007024,product A,V1E2,po_011944,po_011943,7342,1,15602,0,0,0,0,0,0,0,0,0,0
sn_007025,product A,V1E1,po_011945,MFG,15742,1,15742,0,0,0,0,0,0,0,0,0,0
sn_007026,product A,V1E1,po_011946,MFG,12070,0,12070,0,0,0,0,0,0,0,0,0,0
sn_007026,product A,V1E1,po_011947,po_011946,3722,1,15742,0,0,0,0,0,0,0,0,0,0
sn_007027,product A,V1E1,po_011948,MFG,1830,0,1830,0,0,0,0,1,0,0,0,0,0
sn_007027,product A,V1E1,po_011949,po_011948,3990,0,5770,0,0,0,0,1,0,0,0,0,0
sn_007027,product A,V1E2,po_011950,po_011949,4610,0,10330,0,0,0,0,0,1,0,0,0,0
sn_007027,product A,V1E2,po_011951,po_011950,526,0,10806,0,0,0,0,1,0,0,0,0,0
sn_007027,product A,V1E2,po_011952,po_011951,4866,1,15622,0,0,0,0,0,0,0,0,0,0
sn_007028,product A,V1E1,po_011953,MFG,6658,0,6658,0,0,0,0,0,0,0,0,0,1
sn_007028,product A,V1E1,po_011954,po_011953,5334,1,11942,0,0,0,0,0,0,0,0,0,0
sn_007029,product A,V1E1,po_011955,MFG,15738,1,15738,0,0,0,0,0,0,0,0,0,0
sn_007030,product A,V1E1,po_011956,MFG,4790,0,4790,0,0,0,0,1,0,0,0,0,0
sn_007030,product A,V1E2,po_011957,po_011956,4694,0,9434,0,0,0,0,1,0,0,0,0,0
sn_007030,product A,V1E2,po_011958,po_011957,6242,1,15626,0,0,0,0,0,0,0,0,0,0
sn_007031,product A,V1E1,po_011959,MFG,15734,1,15734,0,0,0,0,0,0,0,0,0,0
sn_007032,product A,V1E1,po_011960,MFG,15722,1,15722,0,0,0,0,0,0,0,0,0,0
sn_007033,product A,V1E1,po_011961,MFG,4330,0,4330,0,0,0,0,1,0,0,0,0,0
sn_007033,product A,V1E2,po_011962,po_011961,3458,0,7738,0,0,0,0,0,1,0,0,0,0
sn_007033,product A,V1E2,po_011963,po_011962,998,0,8686,0,0,0,0,0,0,0,0,0,0
sn_007033,product A,V1E2,po_011964,po_011963,6938,1,15574,0,0,0,0,0,0,0,0,0,0
sn_007034,product A,V1E1,po_011965,MFG,15722,1,15722,0,0,0,0,0,0,0,0,0,0
sn_007035,product A,V1E1,po_011966,MFG,7426,0,7426,0,0,0,0,0,0,0,0,0,0
sn_007035,product A,V1E1,po_011967,po_011966,2850,0,10226,0,0,0,0,1,0,0,0,0,0
sn_007035,product A,V1E2,po_011968,po_011967,4318,0,14494,0,0,0,0,1,0,0,0,0,0
sn_007035,product A,V1E3,po_011969,po_011968,1206,1,15650,0,0,0,0,0,0,0,0,0,0
sn_007036,product A,V1E1,po_011970,MFG,9246,0,9246,0,0,0,0,1,1,0,0,0,0
sn_007036,product A,V1E1,po_011971,po_011970,4334,1,13530,0,0,0,0,1,0,0,0,0,0
sn_007036,product A,V1E2,po_011972,po_011970,6526,1,20006,0,0,0,0,0,0,0,0,0,0
sn_007037,product A,V1E1,po_011973,MFG,3486,0,3486,0,0,0,0,1,0,0,0,0,0
sn_007037,product A,V1E1,po_011974,po_011973,3914,0,7350,0,0,0,0,0,0,0,0,0,0
sn_007037,product A,V1E1,po_011975,po_011974,4734,0,12034,0,0,0,0,1,1,0,0,0,0
sn_007037,product A,V1E2,po_011976,po_011975,3630,1,15614,0,0,0,0,0,0,0,0,0,0
sn_007038,product A,V1E1,po_011977,MFG,15726,1,15726,0,0,0,0,0,0,0,0,0,0
sn_007039,product A,V1E1,po_011978,MFG,4642,0,4642,0,0,0,0,1,0,0,0,0,0
sn_007039,product A,V1E2,po_011979,po_011978,798,0,5390,0,0,0,0,1,0,0,0,0,0
sn_007039,product A,V1E2,po_011980,po_011979,774,0,6114,0,0,0,0,0,0,0,0,0,0
sn_007039,product A,V1E2,po_011981,po_011980,546,0,6610,0,0,0,0,1,1,1,0,0,0
sn_007039,product A,V1E2,po_011982,po_011981,554,0,7114,0,0,0,1,0,0,0,0,0,0
sn_007039,product A,V1E2,po_011983,po_011982,1994,0,9058,0,0,0,0,0,0,0,0,0,0
sn_007039,product A,V1E2,po_011984,po_011983,6210,1,15218,0,0,0,0,0,0,0,0,0,0
sn_007040,product A,V1E1,po_011985,MFG,1706,0,1706,0,0,0,0,1,0,0,0,0,1
sn_007040,product A,V1E1,po_011986,po_011985,8482,0,10138,0,0,0,0,1,0,0,0,0,0
sn_007040,product A,V1E2,po_011987,po_011986,5598,1,15686,0,0,0,0,0,0,0,0,0,0
sn_007041,product A,V1E1,po_011988,MFG,6606,0,6606,0,0,0,0,1,0,1,0,0,0
sn_007041,product A,V1E2,po_011989,po_011988,4038,0,10594,0,0,0,1,1,0,0,0,0,0
sn_007041,product A,V1E2,po_011990,po_011989,5086,1,15630,0,0,0,0,0,0,0,0,0,0
sn_007042,product A,V1E1,po_011991,MFG,7374,0,7374,0,0,0,0,1,0,0,0,0,0
sn_007042,product A,V1E2,po_011992,po_011991,4750,0,12074,0,0,0,0,1,1,0,0,0,0
sn_007042,product A,V1E2,po_011993,po_011992,3618,1,15642,0,0,0,0,0,0,0,0,0,0
